month,overall,individual,sales_or_rent,cooperative,others
01/01/1991,8826,2244,,5525,1057
01/02/1991,17065,4172,,10746,2147
01/03/1991,24238,6254,,15323,2661
01/04/1991,32824,8323,,21167,3334
01/05/1991,41548,10700,,26773,4075
01/06/1991,53343,15096,,33484,4763
01/07/1991,63701,17138,,40763,5800
01/08/1991,72319,19410,,46316,6593
01/09/1991,82423,22464,,52550,7409
01/10/1991,93135,26134,,58642,8359
01/11/1991,105830,30148,,66157,9525
01/12/1991,136790,39958,,83554,13278
01/01/1992,9009,2262,,5577,1170
01/02/1992,18409,4460,,11988,1961
01/03/1992,47242,6977,,37347,2918
01/04/1992,52217,8965,,39528,3724
01/05/1992,58492,11312,,42633,4547
01/06/1992,66888,15188,,46389,5311
01/07/1992,74827,16868,,51681,6278
01/08/1992,82109,18882,,56204,7023
01/09/1992,89349,21273,,60207,7869
01/10/1992,99724,24573,,66381,8770
01/11/1992,109574,27863,,72044,9667
01/12/1992,132969,36863,,84260,11846
01/01/1993,8513,1906,3,5634,970
01/02/1993,15456,3724,18,10041,1673
01/03/1993,22266,5601,87,14169,2409
01/04/1993,28231,7427,108,17849,2847
01/05/1993,34213,9341,113,21327,3432
01/06/1993,42060,12931,199,24796,4134
01/07/1993,49665,14834,229,29403,5199
01/08/1993,56195,17080,265,33037,5813
01/09/1993,62092,19501,310,35895,6386
01/10/1993,68618,22334,342,39053,6889
01/11/1993,76891,25465,343,43326,7757
01/12/1993,94449,33463,485,50002,10499
01/01/1994,6327,1895,112,3538,782
01/02/1994,12003,3847,161,6695,1300
01/03/1994,16649,5782,161,9138,1568
01/04/1994,21153,7533,196,11448,1976
01/05/1994,25653,9498,212,13555,2388
01/06/1994,31681,12810,303,15645,2923
01/07/1994,36041,14639,396,17633,3373
01/08/1994,41232,16721,397,20225,3889
01/09/1994,45936,19176,540,22030,4190
01/10/1994,51504,22023,690,24056,4735
01/11/1994,57860,25373,921,26264,5302
01/12/1994,76080,35516,1404,31741,7419
01/01/1995,4961,1671,187,2626,477
01/02/1995,8787,3395,241,4308,843
01/03/1995,13170,5420,454,6228,1068
01/04/1995,16885,6987,679,7969,1250
01/05/1995,20937,8906,772,9731,1528
01/06/1995,26564,11883,1009,11855,1817
01/07/1995,30960,13569,1198,14009,2184
01/08/1995,35290,15643,1338,15802,2507
01/09/1995,39989,18062,1497,17587,2843
01/10/1995,46480,20944,2134,20002,3400
01/11/1995,52319,23735,2317,22364,3903
01/12/1995,67072,31675,2767,26800,5830
01/01/1996,5342,1857,88,2761,636
01/02/1996,9169,3638,296,4424,811
01/03/1996,12402,5309,445,5648,1000
01/04/1996,15607,6929,480,7099,1099
01/05/1996,18936,8699,578,8431,1228
01/06/1996,23298,11239,720,9983,1356
01/07/1996,27763,13212,901,11844,1806
01/08/1996,32181,15165,1015,13877,2124
01/09/1996,36999,17560,1288,15784,2367
01/10/1996,42932,20567,1676,18006,2683
01/11/1996,49294,23460,1881,20746,3207
01/12/1996,62130,30135,2691,24641,4663
01/01/1997,5256,2278,263,2283,432
01/02/1997,10904,5165,638,4353,748
01/03/1997,15715,7893,693,6200,929
01/04/1997,20926,10300,1041,8406,1179
01/05/1997,24736,12457,1315,9695,1269
01/06/1997,30081,15439,1555,11527,1560
01/07/1997,34857,17746,1810,13553,1748
01/08/1997,39426,20059,2099,15406,1862
01/09/1997,46112,22951,2533,18241,2387
01/10/1997,53058,26048,2945,21016,3049
01/11/1997,60105,29013,3949,23217,3926
01/12/1997,73706,35074,5099,28131,5402
01/01/1998,7380,2674,600,3624,482
01/02/1998,12611,5313,1071,5292,935
01/03/1998,17977,8182,1430,7156,1209
01/04/1998,23071,10598,1878,8938,1657
01/05/1998,28324,12714,2554,10947,2109
01/06/1998,34213,15432,3191,12798,2792
01/07/1998,40176,18049,3480,15326,3321
01/08/1998,45654,20412,4232,17154,3856
01/09/1998,52120,23489,4775,19464,4392
01/10/1998,59490,26841,5716,21990,4943
01/11/1998,67114,30141,7218,24362,5393
01/12/1998,80594,37322,8963,28039,6270
01/01/1999,5198,2243,522,1898,535
01/02/1999,10531,4786,1132,3801,812
01/03/1999,15567,7469,1888,5185,1025
01/04/1999,20491,9832,2912,6460,1287
01/05/1999,25686,12002,3893,8195,1596
01/06/1999,31868,14709,4485,10696,1978
01/07/1999,37953,16826,5720,12969,2438
01/08/1999,43967,19417,6312,15151,3087
01/09/1999,50138,22247,6982,16963,3946
01/10/1999,57861,24930,9071,19248,4612
01/11/1999,66101,27952,10575,22365,5209
01/12/1999,81979,33304,14195,27490,6990
01/01/2000,5796,2502,1179,1659,456
01/02/2000,11995,5307,2203,3545,940
01/03/2000,17972,8139,2972,5352,1509
01/04/2000,23332,10469,4028,7153,1682
01/05/2000,29287,12699,5826,8670,2092
01/06/2000,34278,15060,6913,9937,2368
01/07/2000,40741,17664,8667,11717,2693
01/08/2000,47888,20550,10423,13569,3346
01/09/2000,54770,23205,11819,16023,3723
01/10/2000,63212,26814,13882,17767,4749
01/11/2000,72298,29963,16269,20175,5891
01/12/2000,87789,35542,20728,24391,7128
01/01/2001,9496,3373,2781,2605,737
01/02/2001,17311,6380,4257,5144,1530
01/03/2001,25755,9793,6878,7264,1820
01/04/2001,33850,12548,9357,9543,2402
01/05/2001,40914,15556,10626,11548,3184
01/06/2001,47616,18505,12254,12954,3903
01/07/2001,56464,21537,14980,14881,5066
01/08/2001,64426,24693,16769,17244,5720
01/09/2001,71863,27757,18870,18701,6535
01/10/2001,80931,31959,20804,20560,7608
01/11/2001,91240,35652,23748,23053,8787
01/12/2001,105967,40642,29403,25835,10087
